,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,3842000,3932000,3857000,3984000,4066000,4010000,4060000,4303000,4640000,4867000,4538000,4569000,4201000,4782000,4483000,4765000,4834000,4923000,4516000,4305000,4319811,4120514,4029936,3949800,3949614,3996256,4014721,2416018,2434642,3008795,3477249
Disease of the circulatory system,427000,445000,459000,471000,486000,492000,507000,543000,614000,646000,608000,625000,560000,682000,609000,657000,682000,713000,642000,607000,609396,585998,573663,566022,562187,569430,568669,306036,303245,398235,473483
Ischaemic heart diseases,115000,137000,144000,147000,151000,152000,157000,169000,181000,185000,157000,141000,102000,106000,121000,79000,80000,85000,72000,69000,70009,68060,67481,65691,63248,64183,62095,37223,42365,54423,58604
Cerebrovascular diseases,62000,58000,64000,63000,68000,71000,74000,74000,91000,96000,100000,116000,113000,144000,125000,125000,126000,128000,119000,114000,116508,109435,105569,105560,104896,107846,61689,44454,43218,48462,50463
