Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,16673000,16930000,16052000,16555222,17014122,16120348,15081418,14051044,13609869,15713147,15791431,15438890,16205255,16158631,15323708,14292988,14368641,15403323,16005993,16232615,15920923,15154302,14670434,14895047,14624689,14133600,13626935,14160518,12893200,13376519,13794873,15352985
Disease of the circulatory system,413000,450000,445000,513257,511084,494290,427865,409064,678398,756645,718283,665903,715112,746767,818195,777921,761473,826075,884666,904882,950133,860525,947557,943136,860203,839626,820958,876074,788793,891361,907489,1053890
